time,pelvis_acc_x,pelvis_acc_y,pelvis_acc_z,pelvis_gyro_x,pelvis_gyro_y,pelvis_gyro_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,left_thigh_acc_x,left_thigh_acc_y,left_thigh_acc_z,left_thigh_gyro_x,left_thigh_gyro_y,left_thigh_gyro_z,left_thigh_quat_w,left_thigh_quat_x,left_thigh_quat_y,left_thigh_quat_z,right_thigh_acc_x,right_thigh_acc_y,right_thigh_acc_z,right_thigh_gyro_x,right_thigh_gyro_y,right_thigh_gyro_z,right_thigh_quat_w,right_thigh_quat_x,right_thigh_quat_y,right_thigh_quat_z,L0_a,L0_alpha,L0_d,L0_theta,L0_theta_sin,L0_theta_cos,L1_a,L1_alpha,L1_d,L1_theta,L1_theta_sin,L1_theta_cos,L2_a,L2_alpha,L2_d,L2_theta,L2_theta_sin,L2_theta_cos,L3_a,L3_alpha,L3_d,L3_theta,L3_theta_sin,L3_theta_cos,L4_a,L4_alpha,L4_d,L4_theta,L4_theta_sin,L4_theta_cos,R0_a,R0_alpha,R0_d,R0_theta,R0_theta_sin,R0_theta_cos,R1_a,R1_alpha,R1_d,R1_theta,R1_theta_sin,R1_theta_cos,R2_a,R2_alpha,R2_d,R2_theta,R2_theta_sin,R2_theta_cos,R3_a,R3_alpha,R3_d,R3_theta,R3_theta_sin,R3_theta_cos,R4_a,R4_alpha,R4_d,R4_theta,R4_theta_sin,R4_theta_cos,L_hip_x,L_hip_y,L_hip_z,R_hip_x,R_hip_y,R_hip_z,L_thigh_x,L_thigh_y,L_thigh_z,R_thigh_x,R_thigh_y,R_thigh_z,L_knee_x,L_knee_y,L_knee_z,R_knee_x,R_knee_y,R_knee_z,L_shank_x,L_shank_y,L_shank_z,R_shank_x,R_shank_y,R_shank_z,L_ankle_x,L_ankle_y,L_ankle_z,R_ankle_x,R_ankle_y,R_ankle_z,left_knee_angle,right_knee_angle,gait_phase
0.005,-0.28,-0.99,0.078,-0.186,0.098,0.073,0.6448,-0.7223,-0.0568,-0.2432,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0,0,0.185,0,0,1,0,0,0,-2.33E-17,-2.33E-17,1,0.5,0,0,0,0,1,0,0,0,0.000191689,0.000191689,0.999999982,0.49,0,0,0,0,1,0,0,-0.185,0,0,1,0,0,0,5.22E-17,5.22E-17,1,0.5,0,0,0,0,1,0,0,0,-0.000575066,-0.000575066,0.999999835,0.49,0,0,0,0,1,0,0,0,0,0,0,-2.01E-17,0.185,1.78E-17,2.01E-17,-0.185,-1.78E-17,-2.01E-17,0.185,1.78E-17,2.01E-17,-0.185,-1.78E-17,0.5,0.185,3.47E-17,0.5,-0.185,-3.86E-17,0.5,0.185,3.47E-17,0.5,-0.185,-3.86E-17,0.000191689,-0.000575066,0
0.01,-0.279,-0.99,0.078,-0.196,0.104,0.071,0.6451,-0.722,-0.0567,-0.2435,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0,0,0.185,0,0,1,0,0,0,-0.000742462,-0.000742462,0.999999724,0.5,0,0,0,0,1,0,0,0,0.000191689,0.000191689,0.999999982,0.49,0,0,0,0,1,0,0,-0.185,0,0,1,0,0,0,-0.000742462,-0.000742462,0.999999724,0.5,0,0,0,0,1,0,0,0,-0.000575066,-0.000575066,0.999999835,0.49,0,0,0,0,1,0,0,0,0,0,0,2.42E-05,0.184999948,0.000136449,-2.42E-05,-0.184999948,-0.000136449,2.42E-05,0.184999948,0.000136449,-2.42E-05,-0.184999948,-0.000136449,0.500024206,0.184934515,0.000136449,0.499975785,-0.185065381,-0.000136449,0.500024206,0.184934515,0.000136449,0.499975785,-0.185065381,-0.000136449,0.000191689,-0.000575066,0
0.015,-0.281,-0.989,0.08,-0.205,0.102,0.066,0.6454,-0.7216,-0.0566,-0.2438,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0,0,0.185,0,0,1,0,0,0,-0.001533735,-0.001533734,0.999998824,0.5,0,0,0,0,1,0,0,0,0.000191689,0.000191689,0.999999982,0.49,0,0,0,0,1,0,0,-0.185,0,0,1,0,0,0,-0.001533735,-0.001533734,0.999998824,0.5,0,0,0,0,1,0,0,0,-0.000575066,-0.000575066,0.999999835,0.49,0,0,0,0,1,0,0,0,0,0,0,5.07E-05,0.184999755,0.000296746,-5.07E-05,-0.184999755,-0.000296746,5.07E-05,0.184999755,0.000296746,-5.07E-05,-0.184999755,-0.000296746,0.500050631,0.184862863,0.000296746,0.499949331,-0.185136647,-0.000296746,0.500050631,0.184862863,0.000296746,0.499949331,-0.185136647,-0.000296746,0.000191689,-0.000575066,0
0.02,-0.283,-0.986,0.078,-0.213,0.099,0.062,0.6457,-0.7212,-0.0565,-0.2441,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0,0,0.185,0,0,1,0,0,0,-0.002325176,-0.002325174,0.999997297,0.5,0,0,0,0,1,0,0,0,0.000191689,0.000191689,0.999999982,0.49,0,0,0,0,1,0,0,-0.185,0,0,1,0,0,0,-0.002325176,-0.002325174,0.999997297,0.5,0,0,0,0,1,0,0,0,-0.000575066,-0.000575066,0.999999835,0.49,0,0,0,0,1,0,0,0,0,0,0,7.72E-05,0.184999419,0.000457031,-7.72E-05,-0.184999419,-0.000457031,7.72E-05,0.184999419,0.000457031,-7.72E-05,-0.184999419,-0.000457031,0.500077175,0.184790721,0.000457031,0.499922738,-0.185208118,-0.000457031,0.500077175,0.184790721,0.000457031,0.499922738,-0.185208118,-0.000457031,0.000191689,-0.000575066,0
0.025,-0.281,-0.985,0.076,-0.219,0.096,0.057,0.6461,-0.7208,-0.0564,-0.2444,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0,0,0.185,0,0,1,0,0,0,-0.003127904,-0.003127899,0.999995108,0.5,0,0,0,0,1,0,0,0,0.000191689,0.000191689,0.999999982,0.49,0,0,0,0,1,0,0,-0.185,0,0,1,0,0,0,-0.003127904,-0.003127899,0.999995108,0.5,0,0,0,0,1,0,0,0,-0.000575066,-0.000575066,0.999999835,0.49,0,0,0,0,1,0,0,0,0,0,0,9.50E-05,0.184998855,0.000644004,-9.50E-05,-0.184998855,-0.000644004,9.50E-05,0.184998855,0.000644004,-9.50E-05,-0.184998855,-0.000644004,0.500094888,0.184742222,0.000644004,0.499904981,-0.185255487,-0.000644004,0.500094888,0.184742222,0.000644004,0.499904981,-0.185255487,-0.000644004,0.000191689,-0.000575066,0
0.03,-0.283,-0.984,0.074,-0.224,0.095,0.052,0.6465,-0.7203,-0.0563,-0.2447,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0,0,0.185,0,0,1,0,0,0,-0.003979669,-0.003979658,0.999992081,0.5,0,0,0,0,1,0,0,0,0.000191689,0.000191689,0.999999982,0.49,0,0,0,0,1,0,0,-0.185,0,0,1,0,0,0,-0.003979669,-0.003979658,0.999992081,0.5,0,0,0,0,1,0,0,0,-0.000575066,-0.000575066,0.999999835,0.49,0,0,0,0,1,0,0,0,0,0,0,0.000115015,0.184997989,0.000854862,-0.000115015,-0.184997989,-0.000854862,0.000115015,0.184997989,0.000854862,-0.000115015,-0.184997989,-0.000854862,0.500114918,0.184687134,0.000854862,0.499884888,-0.185308844,-0.000854862,0.500114918,0.184687134,0.000854862,0.499884888,-0.185308844,-0.000854862,0.000191689,-0.000575066,0
0.035,-0.277,-0.986,0.074,-0.142,0.096,0.078,0.644,-0.7233,-0.057,-0.2422,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0,0,0.185,0,0,1,0,0,0,0.002279376,0.002279374,0.999997402,0.5,0,0,0,0,1,0,0,0,0.000191689,0.000191689,0.999999982,0.49,0,0,0,0,1,0,0,-0.185,0,0,1,0,0,0,0.002279376,0.002279374,0.999997402,0.5,0,0,0,0,1,0,0,0,-0.000575066,-0.000575066,0.999999835,0.49,0,0,0,0,1,0,0,0,0,0,0,-0.000133706,0.184999489,-0.000413586,0.000133706,-0.184999489,0.000413586,-0.000133706,0.184999489,-0.000413586,0.000133706,-0.184999489,0.000413586,0.499866164,0.185360857,-0.000413586,0.500133575,-0.184638122,0.000413586,0.499866164,0.185360857,-0.000413586,0.500133575,-0.184638122,0.000413586,0.000191689,-0.000575066,0
0.04,-0.291,-0.973,0.095,-0.151,0.132,0.071,0.6413,-0.7271,-0.0575,-0.2378,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0,0,0.185,0,0,1,0,0,0,0.011413668,0.01141342,0.999934865,0.5,0,0,0,0,1,0,0,0,0.000191689,0.000191689,0.999999982,0.49,0,0,0,0,1,0,0,-0.185,0,0,1,0,0,0,0.011413668,0.01141342,0.999934865,0.5,0,0,0,0,1,0,0,0,-0.000575066,-0.000575066,0.999999835,0.49,0,0,0,0,1,0,0,0,0,0,0,-0.000876402,0.18498807,-0.001909412,0.000876402,-0.18498807,0.001909412,-0.000876402,0.18498807,-0.001909412,0.000876402,-0.18498807,0.001909412,0.499117987,0.18735685,-0.001909412,0.500870791,-0.18261929,0.001909412,0.499117987,0.18735685,-0.001909412,0.500870791,-0.18261929,0.001909412,0.000191689,-0.000575066,0
0.045,-0.285,-0.975,0.07,-0.144,0.123,0.068,0.6424,-0.7256,-0.0574,-0.2396,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0,0,0.185,0,0,1,0,0,0,0.007842809,0.007842728,0.999969245,0.5,0,0,0,0,1,0,0,0,0.000191689,0.000191689,0.999999982,0.49,0,0,0,0,1,0,0,-0.185,0,0,1,0,0,0,0.007842809,0.007842728,0.999969245,0.5,0,0,0,0,1,0,0,0,-0.000575066,-0.000575066,0.999999835,0.49,0,0,0,0,1,0,0,0,0,0,0,-0.000546878,0.184994614,-0.001301377,0.000546878,-0.184994614,0.001301377,-0.000546878,0.184994614,-0.001301377,0.000546878,-0.184994614,0.001301377,0.499450937,0.1864727,-0.001301377,0.500544693,-0.183516529,0.001301377,0.499450937,0.1864727,-0.001301377,0.500544693,-0.183516529,0.001301377,0.000191689,-0.000575066,0
0.05,-0.271,-0.977,0.031,-0.155,0.151,0.053,0.6496,-0.7164,-0.0561,-0.2479,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0,0,0.185,0,0,1,0,0,0,-0.011133191,-0.011132961,0.999938027,0.5,0,0,0,0,1,0,0,0,0.000191689,0.000191689,0.999999982,0.49,0,0,0,0,1,0,0,-0.185,0,0,1,0,0,0,-0.011133191,-0.011132961,0.999938027,0.5,0,0,0,0,1,0,0,0,-0.000575066,-0.000575066,0.999999835,0.49,0,0,0,0,1,0,0,0,0,0,0,0.00064043,0.184981653,0.002525478,-0.00064043,-0.184981653,-0.002525478,0.00064043,0.184981653,0.002525478,-0.00064043,-0.184981653,-0.002525478,0.500637433,0.183250601,0.002525478,0.499356574,-0.186712705,-0.002525478,0.500637433,0.183250601,0.002525478,0.499356574,-0.186712705,-0.002525478,0.000191689,-0.000575066,0
